School ID,School,Total,White No,White Pct,African American No,African American Pct,Asian/Pacific Islander No,Asian/Pacific Islander Pct,Native American/Alaskan No,Native American/Alaskan Pct,Hispanic No,Hispanic Pct,Multi-Racial No,Multi-Racial Pct,Asian No,Asian Pct,Hawaiian/Pacific Islander No,Hawaiian/Pacific Islander Pct,Not Available No,Not Available Pct,Year
400010,ACE Tech Chtr HS,500,24,4.8,322,64.4,0,0.0,7,1.4,134,26.8,11,2.2,0,0.0,0,0.0,2,0.4,2012
400013,ASPIRA Chrt - Early College,505,6,1.2,15,3.0,0,0.0,1,0.2,476,94.3,2,0.4,3,0.6,0,0.0,2,0.4,2012
400017,ASPIRA Chrt - Haugan,592,16,2.7,34,5.7,0,0.0,3,0.5,514,86.8,5,0.8,19,3.2,0,0.0,1,0.2,2012
400015,ASPIRA Chrt - Ramirez,397,14,3.5,48,12.1,0,0.0,1,0.3,330,83.1,0,0.0,4,1.0,0,0.0,0,0.0,2012
609772,Addams,926,22,2.4,7,0.8,0,0.0,2,0.2,889,96.0,4,0.4,2,0.2,0,0.0,0,0.0,2012
609773,Agassiz,429,143,33.3,96,22.4,0,0.0,0,0.0,158,36.8,19,4.4,11,2.6,2,0.5,0,0.0,2012
610513,Air Force Acad HS,302,24,7.9,129,42.7,0,0.0,0,0.0,127,42.1,6,2.0,11,3.6,1,0.3,4,1.3,2012
610212,Albany Park Middle,266,23,8.6,15,5.6,0,0.0,0,0.0,189,71.1,3,1.1,36,13.5,0,0.0,0,0.0,2012
609774,Alcott,474,316,66.7,44,9.3,0,0.0,0,0.0,70,14.8,20,4.2,23,4.9,1,0.2,0,0.0,2012
610524,Alcott HS,232,30,12.9,80,34.5,0,0.0,2,0.9,107,46.1,7,3.0,2,0.9,3,1.3,1,0.4,2012
609848,Aldridge,283,0,0.0,283,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2012
609775,Altgeld,527,0,0.0,520,98.7,0,0.0,0,0.0,7,1.3,0,0.0,0,0.0,0,0.0,0,0.0,2012
400012,Amandla Elementay Chrtr,348,0,0.0,347,99.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.3,2012
609780,Ames Middle,583,12,2.1,29,5.0,0,0.0,3,0.5,535,91.8,3,0.5,0,0.0,0,0.0,1,0.2,2012
609695,Amundsen HS,1535,143,9.3,172,11.2,3,0.2,4,0.3,1002,65.3,17,1.1,191,12.4,1,0.1,2,0.1,2012
609951,Ariel,550,0,0.0,537,97.6,0,0.0,0,0.0,12,2.2,0,0.0,0,0.0,0,0.0,1,0.2,2012
609777,Armour,362,23,6.4,18,5.0,0,0.0,0,0.0,303,83.7,1,0.3,5,1.4,0,0.0,12,3.3,2012
609779,Armstrong G.,1487,122,8.2,380,25.6,0,0.0,16,1.1,704,47.3,35,2.4,229,15.4,1,0.1,0,0.0,2012
610156,Armstrong L.,95,0,0.0,93,97.9,0,0.0,0,0.0,2,2.1,0,0.0,0,0.0,0,0.0,0,0.0,2012
610287,Ashburn,490,4,0.8,396,80.8,0,0.0,1,0.2,77,15.7,9,1.8,1,0.2,0,0.0,2,0.4,2012
610268,Ashe,456,0,0.0,450,98.7,0,0.0,0,0.0,5,1.1,1,0.2,0,0.0,0,0.0,0,0.0,2012
609781,Attucks,276,0,0.0,275,99.6,0,0.0,0,0.0,1,0.4,0,0.0,0,0.0,0,0.0,0,0.0,2012
609782,Audubon,573,317,55.3,21,3.7,0,0.0,1,0.2,184,32.1,36,6.3,6,1.0,2,0.3,6,1.0,2012
400018,Austin Bus & Entrp HS,317,0,0.0,313,98.7,0,0.0,0,0.0,3,0.9,0,0.0,0,0.0,0,0.0,1,0.3,2012
610501,Austin Poly Tech HS,251,1,0.4,247,98.4,0,0.0,1,0.4,2,0.8,0,0.0,0,0.0,0,0.0,0,0.0,2012
609786,Avalon Park,393,0,0.0,387,98.5,0,0.0,0,0.0,6,1.5,0,0.0,0,0.0,0,0.0,0,0.0,2012
610544,Azuela,870,21,2.4,16,1.8,1,0.1,5,0.6,815,93.7,0,0.0,0,0.0,0,0.0,12,1.4,2012
610265,Banneker,302,0,0.0,300,99.3,0,0.0,0,0.0,1,0.3,1,0.3,0,0.0,0,0.0,0,0.0,2012
610549,Banner North Elem,5,0,0.0,3,60.0,0,0.0,0,0.0,2,40.0,0,0.0,0,0.0,0,0.0,0,0.0,2012
610550,Banner North HS,28,0,0.0,14,50.0,0,0.0,0,0.0,14,50.0,0,0.0,0,0.0,0,0.0,0,0.0,2012
610556,Banner South HS,284,0,0.0,279,98.2,0,0.0,0,0.0,5,1.8,0,0.0,0,0.0,0,0.0,0,0.0,2012
610555,Banner West HS,162,1,0.6,150,92.6,0,0.0,0,0.0,11,6.8,0,0.0,0,0.0,0,0.0,0,0.0,2012
609788,Barnard,272,2,0.7,265,97.4,0,0.0,0,0.0,4,1.5,1,0.4,0,0.0,0,0.0,0,0.0,2012
609789,Barry,796,14,1.8,13,1.6,0,0.0,1,0.1,757,95.1,7,0.9,4,0.5,0,0.0,0,0.0,2012
609790,Barton,596,1,0.2,590,99.0,0,0.0,0,0.0,4,0.7,0,0.0,0,0.0,0,0.0,1,0.2,2012
609791,Bass,367,0,0.0,356,97.0,0,0.0,0,0.0,10,2.7,1,0.3,0,0.0,0,0.0,0,0.0,2012
609792,Bateman,1014,90,8.9,23,2.3,0,0.0,7,0.7,783,77.2,4,0.4,61,6.0,2,0.2,44,4.3,2012
610083,Beard,160,51,31.9,14,8.8,0,0.0,2,1.3,72,45.0,4,2.5,16,10.0,0,0.0,1,0.6,2012
610246,Beasley Magnet,1363,0,0.0,1319,96.8,0,0.0,5,0.4,24,1.8,10,0.7,2,0.1,1,0.1,2,0.1,2012
609796,Beaubien,1172,434,37.0,17,1.5,1,0.1,5,0.4,485,41.4,62,5.3,163,13.9,3,0.3,2,0.2,2012
610237,Beethoven,409,2,0.5,393,96.1,0,0.0,0,0.0,4,1.0,2,0.5,0,0.0,0,0.0,8,2.0,2012
609797,Beidler,406,0,0.0,387,95.3,0,0.0,2,0.5,16,3.9,1,0.2,0,0.0,0,0.0,0,0.0,2012
609798,Belding,657,238,36.2,42,6.4,0,0.0,3,0.5,314,47.8,10,1.5,41,6.2,2,0.3,7,1.1,2012
609799,Bell,990,587,59.3,29,2.9,0,0.0,6,0.6,235,23.7,76,7.7,54,5.5,2,0.2,1,0.1,2012
609922,Belmont-Cragin,634,21,3.3,11,1.7,0,0.0,6,0.9,574,90.5,3,0.5,2,0.3,1,0.2,16,2.5,2012
609800,Bennett,502,1,0.2,489,97.4,0,0.0,1,0.2,5,1.0,6,1.2,0,0.0,0,0.0,0,0.0,2012
610365,Bethune,363,0,0.0,363,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2012
610350,Black Magnet,473,1,0.2,462,97.7,0,0.0,0,0.0,4,0.8,6,1.3,0,0.0,0,0.0,0,0.0,2012
609803,Blaine,915,491,53.7,40,4.4,2,0.2,2,0.2,252,27.5,59,6.4,34,3.7,5,0.5,30,3.3,2012
610087,Blair,137,27,19.7,29,21.2,0,0.0,1,0.7,75,54.7,0,0.0,4,2.9,1,0.7,0,0.0,2012
609698,Bogan Tech HS,1658,41,2.5,905,54.6,0,0.0,10,0.6,688,41.5,5,0.3,6,0.4,2,0.1,1,0.1,2012
610238,Bond,343,1,0.3,333,97.1,0,0.0,0,0.0,9,2.6,0,0.0,0,0.0,0,0.0,0,0.0,2012
610161,Bontemps,345,0,0.0,344,99.7,0,0.0,0,0.0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,2012
609804,Boone,748,180,24.1,87,11.6,2,0.3,4,0.5,332,44.4,9,1.2,133,17.8,0,0.0,1,0.1,2012
609815,Bouchet,778,1,0.1,768,98.7,0,0.0,0,0.0,2,0.3,2,0.3,0,0.0,0,0.0,5,0.6,2012
609806,Bradwell,771,0,0.0,764,99.1,0,0.0,1,0.1,4,0.5,0,0.0,1,0.1,0,0.0,1,0.1,2012
610242,Brennemann,360,15,4.2,273,75.8,0,0.0,3,0.8,54,15.0,6,1.7,8,2.2,1,0.3,0,0.0,2012
609809,Brentano,453,13,2.9,21,4.6,0,0.0,6,1.3,394,87.0,3,0.7,2,0.4,0,0.0,14,3.1,2012
609810,Bridge,994,521,52.4,9,0.9,0,0.0,1,0.1,418,42.1,20,2.0,24,2.4,0,0.0,1,0.1,2012
609811,Bright,359,2,0.6,225,62.7,0,0.0,1,0.3,128,35.7,2,0.6,0,0.0,1,0.3,0,0.0,2012
610317,Brighton Park,687,12,1.7,7,1.0,0,0.0,4,0.6,658,95.8,3,0.4,3,0.4,0,0.0,0,0.0,2012
400019,Bronzeville LH Chrt,455,1,0.2,444,97.6,0,0.0,0,0.0,8,1.8,0,0.0,1,0.2,0,0.0,1,0.2,2012
610381,Bronzeville Mil HS,552,0,0.0,544,98.6,0,0.0,0,0.0,4,0.7,0,0.0,3,0.5,1,0.2,0,0.0,2012
609726,Brooks CPHS,781,12,1.5,672,86.0,0,0.0,5,0.6,88,11.3,4,0.5,0,0.0,0,0.0,0,0.0,2012
610091,Brown R.,283,0,0.0,278,98.2,0,0.0,0,0.0,5,1.8,0,0.0,0,0.0,0,0.0,0,0.0,2012
609812,Brown W.,214,3,1.4,201,93.9,0,0.0,0,0.0,8,3.7,0,0.0,0,0.0,1,0.5,1,0.5,2012
609813,Brownell,310,0,0.0,309,99.7,0,0.0,0,0.0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,2012
609830,Brunson,650,3,0.5,612,94.2,0,0.0,2,0.3,25,3.8,2,0.3,0,0.0,0,0.0,6,0.9,2012
610280,Buckingham,26,0,0.0,25,96.2,0,0.0,0,0.0,1,3.8,0,0.0,0,0.0,0,0.0,0,0.0,2012
609817,Budlong,862,252,29.2,32,3.7,0,0.0,11,1.3,384,44.5,20,2.3,145,16.8,4,0.5,14,1.6,2012
609818,Burbank,1132,11,1.0,75,6.6,0,0.0,1,0.1,1028,90.8,4,0.4,10,0.9,2,0.2,1,0.1,2012
609819,Burke,241,0,0.0,237,98.3,0,0.0,0,0.0,1,0.4,0,0.0,0,0.0,0,0.0,3,1.2,2012
609820,Burley,570,297,52.1,22,3.9,0,0.0,6,1.1,173,30.4,32,5.6,38,6.7,0,0.0,2,0.4,2012
609821,Burnham,283,0,0.0,281,99.3,0,0.0,0,0.0,2,0.7,0,0.0,0,0.0,0,0.0,0,0.0,2012
609827,Burnside Magnet,761,0,0.0,735,96.6,0,0.0,1,0.1,15,2.0,9,1.2,0,0.0,0,0.0,1,0.1,2012
609828,Burr,347,109,31.4,27,7.8,0,0.0,0,0.0,196,56.5,10,2.9,5,1.4,0,0.0,0,0.0,2012
609829,Burroughs,507,18,3.6,12,2.4,0,0.0,0,0.0,473,93.3,1,0.2,1,0.2,1,0.2,1,0.2,2012
609832,Byrne,684,299,43.7,9,1.3,0,0.0,4,0.6,365,53.4,5,0.7,1,0.1,0,0.0,1,0.1,2012
400023,CICS - Avalon/So Shore,421,0,0.0,419,99.5,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,1,0.2,2012
400025,CICS - Bucktown,667,23,3.4,95,14.2,0,0.0,3,0.4,537,80.5,7,1.0,1,0.1,1,0.1,0,0.0,2012
400113,CICS - Chgo Quest North,231,18,7.8,155,67.1,0,0.0,2,0.9,47,20.3,5,2.2,0,0.0,0,0.0,4,1.7,2012
400032,CICS - Ellison,548,0,0.0,536,97.8,0,0.0,0,0.0,4,0.7,8,1.5,0,0.0,0,0.0,0,0.0,2012
400108,CICS - Hawkins,478,0,0.0,473,99.0,0,0.0,0,0.0,3,0.6,2,0.4,0,0.0,0,0.0,0,0.0,2012
400027,CICS - Irving Park,517,67,13.0,52,10.1,0,0.0,0,0.0,339,65.6,15,2.9,23,4.4,0,0.0,21,4.1,2012
400092,CICS - Lloyd Bond,346,1,0.3,342,98.8,0,0.0,0,0.0,3,0.9,0,0.0,0,0.0,0,0.0,0,0.0,2012
400033,CICS - Longwood,1473,0,0.0,1460,99.1,0,0.0,1,0.1,10,0.7,2,0.1,0,0.0,0,0.0,0,0.0,2012
400026,CICS - Loomis,592,0,0.0,578,97.6,0,0.0,0,0.0,8,1.4,2,0.3,1,0.2,0,0.0,3,0.5,2012
400034,CICS - Northtown,844,189,22.4,66,7.8,1,0.1,4,0.5,455,53.9,12,1.4,114,13.5,3,0.4,0,0.0,2012
400030,CICS - W. Belden,500,4,0.8,32,6.4,0,0.0,0,0.0,444,88.8,0,0.0,2,0.4,0,0.0,18,3.6,2012
400024,CICS- Basil,730,1,0.1,669,91.6,0,0.0,0,0.0,50,6.8,1,0.1,2,0.3,1,0.1,6,0.8,2012
400028,CICS- Prairie,403,0,0.0,226,56.1,0,0.0,0,0.0,176,43.7,1,0.2,0,0.0,0,0.0,0,0.0,2012
400029,CICS- Washington,446,0,0.0,444,99.6,0,0.0,0,0.0,2,0.4,0,0.0,0,0.0,0,0.0,0,0.0,2012
400031,CICS- Wrightwood,709,2,0.3,650,91.7,0,0.0,0,0.0,15,2.1,40,5.6,1,0.1,0,0.0,1,0.1,2012
609833,Caldwell,289,0,0.0,285,98.6,0,0.0,1,0.3,3,1.0,0,0.0,0,0.0,0,0.0,0,0.0,2012
610243,Calhoun North,328,0,0.0,325,99.1,0,0.0,0,0.0,2,0.6,1,0.3,0,0.0,0,0.0,0,0.0,2012
609835,Cameron,822,9,1.1,334,40.6,0,0.0,0,0.0,477,58.0,1,0.1,0,0.0,0,0.0,1,0.1,2012
610539,Camras,823,74,9.0,16,1.9,0,0.0,10,1.2,710,86.3,3,0.4,10,1.2,0,0.0,0,0.0,2012
610018,Canter Middle,221,1,0.5,204,92.3,0,0.0,1,0.5,10,4.5,4,1.8,1,0.5,0,0.0,0,0.0,2012
609836,Canty,780,429,55.0,8,1.0,0,0.0,5,0.6,281,36.0,28,3.6,26,3.3,0,0.0,3,0.4,2012
610024,Cardenas,641,4,0.6,6,0.9,0,0.0,3,0.5,626,97.7,1,0.2,0,0.0,0,0.0,1,0.2,2012
609837,Carnegie,725,3,0.4,676,93.2,0,0.0,0,0.0,7,1.0,2,0.3,0,0.0,0,0.0,37,5.1,2012
609839,Carroll,536,1,0.2,508,94.8,0,0.0,0,0.0,23,4.3,3,0.6,0,0.0,1,0.2,0,0.0,2012
609842,Carson,1218,4,0.3,51,4.2,0,0.0,19,1.6,1143,93.8,1,0.1,0,0.0,0,0.0,0,0.0,2012
609844,Carter,370,0,0.0,367,99.2,0,0.0,0,0.0,1,0.3,1,0.3,0,0.0,1,0.3,0,0.0,2012
609845,Carver Elementary,542,0,0.0,541,99.8,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,2012
609760,Carver Mil Acad HS,532,7,1.3,268,50.4,0,0.0,0,0.0,254,47.7,1,0.2,2,0.4,0,0.0,0,0.0,2012
610021,Casals,504,1,0.2,254,50.4,0,0.0,0,0.0,244,48.4,5,1.0,0,0.0,0,0.0,0,0.0,2012
609849,Cassell,350,261,74.6,46,13.1,0,0.0,1,0.3,31,8.9,9,2.6,2,0.6,0,0.0,0,0.0,2012
609826,Castellanos,525,1,0.2,7,1.3,0,0.0,0,0.0,517,98.5,0,0.0,0,0.0,0,0.0,0,0.0,2012
400020,Catalyst Chrt - Howland,507,0,0.0,498,98.2,0,0.0,0,0.0,3,0.6,0,0.0,0,0.0,0,0.0,6,1.2,2012
400021,Catalyst Circle Rock,520,0,0.0,489,94.0,0,0.0,0,0.0,1,0.2,2,0.4,0,0.0,1,0.2,27,5.2,2012
610251,Cather,234,0,0.0,227,97.0,0,0.0,0,0.0,6,2.6,1,0.4,0,0.0,0,0.0,0,0.0,2012
