School ID,School Name,School Year,# of Misconducts,# of Group 1-2 Misconducts,# of Group 3-4 Misconducts,# of Group 5-6 Misconducts,# of Suspensions (includes ISS and OSS),"% of Misconducts Resulting in a Suspension
(includes ISS and OSS)",# of ISS,% of Misconducts Resulting in an ISS,ISS per 100 Students,# of Unique Students Receiving ISS,% of Unique Students Receiving ISS,Average Length of ISS,# of OSS,% of Misconducts Resulting in an OSS,OSS per 100 Students,# of Unique Students Receiving OSS,% of Unique Students Receiving OSS,Average Length of OSS,# of Police Notifications,% of Misconducts Resulting in a Police Notification,Police Notifications per 100 Students,# of Unique Students Receiving Police Notification,% of Unique Students Receiving Police Notification,# of Students Expelled,Expulsions per 100 Students
609772,ADDAMS,2011,31,7,24,0,29,93.5,10,32.3,1.08,10,1.1,2,19,61.3,2.05,16,1.7,2.26,4,12.9,0.43,4,0.4,0,0.0
609772,ADDAMS,2012,30,7,18,5,28,93.3,18,60,2.02,17,1.9,1.44,10,33.3,1.12,10,1.1,2.5,1,3.3,0.11,1,0.1,0,0.0
609772,ADDAMS,2013,12,1,9,2,10,83.3,6,50,0.69,6,0.7,2,4,33.3,0.46,4,0.5,1,0,0,0,0,0,0,0.0
609772,ADDAMS,2014,24,4,17,3,8,33.3,8,33.3,0.91,8,0.9,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0.0
609773,AGASSIZ,2011,54,24,25,5,51,94.4,35,64.8,8.16,23,5.4,1.14,16,29.6,3.73,9,2.1,2.63,0,0,0,0,0,0,0.0
609773,AGASSIZ,2012,77,28,38,11,57,74,25,32.5,5.52,18,4,1.16,32,41.6,7.07,16,3.5,2.72,2,2.6,0.44,1,0.2,0,0.0
609773,AGASSIZ,2013,63,17,45,1,42,66.7,23,36.5,4.82,17,3.6,1.09,19,30.2,3.98,13,2.7,1.47,1,1.6,0.21,1,0.2,0,0.0
609773,AGASSIZ,2014,54,16,35,3,24,44.4,13,24.1,2.6,13,2.6,1.31,11,20.4,2.2,8,1.6,1.18,1,1.9,0.2,1,0.2,0,0.0
610513,AIR FORCE HS,2011,439,141,288,10,106,24.1,52,11.8,17.61,38,12.9,1.02,54,12.3,18.29,36,12.2,3.27,5,1.1,1.69,5,1.7,1,0.34
610513,AIR FORCE HS,2012,768,323,413,32,289,37.6,219,28.5,56.96,123,32,1.01,70,9.1,18.21,44,11.4,3.5,28,3.6,7.28,23,6,0,0.0
610513,AIR FORCE HS,2013,228,77,120,31,154,67.5,27,11.8,7.6,22,6.2,1,127,55.7,35.74,83,23.4,2.39,9,3.9,2.53,9,2.5,0,0.0
610513,AIR FORCE HS,2014,1108,884,198,26,140,12.6,42,3.8,11.65,36,10,1,98,8.8,27.18,59,16.4,2.2,15,1.4,4.16,15,4.2,1,0.28
610212,ALBANY PARK,2011,6,1,5,0,6,100,3,50,1.13,3,1.1,1.33,3,50,1.13,2,0.8,5,0,0,0,0,0,0,0.0
610212,ALBANY PARK,2012,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
610212,ALBANY PARK,2013,38,21,12,5,10,26.3,1,2.6,0.35,1,0.4,1,9,23.7,3.19,7,2.5,2.22,6,15.8,2.13,4,1.4,0,0.0
610212,ALBANY PARK,2014,49,26,21,2,8,16.3,4,8.2,1.46,3,1.1,1,4,8.2,1.46,3,1.1,2,6,12.2,2.19,3,1.1,0,0.0
609774,ALCOTT ES,2011,11,0,11,0,10,90.9,4,36.4,0.84,4,0.8,1,6,54.5,1.27,6,1.3,1.67,0,0,0,0,0,0,0.0
609774,ALCOTT ES,2012,95,43,50,2,8,8.4,6,6.3,1.23,6,1.2,1.17,2,2.1,0.41,2,0.4,1,0,0,0,0,0,0,0.0
609774,ALCOTT ES,2013,36,31,3,2,8,22.2,6,16.7,1.17,6,1.2,1.17,2,5.6,0.39,2,0.4,2,1,2.8,0.19,1,0.2,0,0.0
609774,ALCOTT ES,2014,164,107,55,2,3,1.8,2,1.2,0.35,2,0.4,1,1,0.6,0.18,1,0.2,1,0,0,0,0,0,0,0.0
610524,ALCOTT HS,2011,356,289,58,9,353,99.2,239,67.1,104.88,95,41.7,1.06,114,32,50.02,56,24.6,2.79,4,1.1,1.76,4,1.8,1,0.44
610524,ALCOTT HS,2012,102,23,66,13,100,98,47,46.1,17.87,40,15.2,1.09,53,52,20.15,31,11.8,2.74,7,6.9,2.66,7,2.7,1,0.38
610524,ALCOTT HS,2013,81,37,28,16,60,74.1,20,24.7,7.34,19,7,1.2,40,49.4,14.67,28,10.3,3.43,1,1.2,0.37,1,0.4,0,0.0
