School ID,School Name,Status as of 2014,Status as of 2019,Year,Attendance,5YR Grad Rate
400008,ACT CHTR HS,Closed,Closed,2012,,63.2
400008,ACT CHTR HS,Closed,Closed,2013,,74.5
400008,ACT CHTR HS,Closed,Closed,2014,,60.3
400008,ACT CHTR HS,Closed,Closed,2015,, 
400008,ACT CHTR HS,Closed,Closed,2016,, 
400010,ACE TECH HS,,Closed,2012,91.4,78.8
400010,ACE TECH HS,,Closed,2013,90.8,66.4
400010,ACE TECH HS,,Closed,2014,89.4,70.3
400010,ACE TECH HS,,Closed,2015,88.1,69.6
400010,ACE TECH HS,,Closed,2016,87.6,68.8
400013,ASPIRA - EARLY COLLEGE HS,,,2012,93.9,68.3
400013,ASPIRA - EARLY COLLEGE HS,,,2013,96.1,66.1
400013,ASPIRA - EARLY COLLEGE HS,,,2014,91.7,70.7
400013,ASPIRA - EARLY COLLEGE HS,,,2015,87.6,67.1
400013,ASPIRA - EARLY COLLEGE HS,,,2016,90.8,67.9
400015,ASPIRA CHTR - RAMIREZ HS,,Closed,2012,87.7,76.8
400015,ASPIRA CHTR - RAMIREZ HS,,Closed,2013,85.5,68.8
400015,ASPIRA CHTR - RAMIREZ HS,,Closed,2014,86.5,60.0
400015,ASPIRA CHTR - RAMIREZ HS,,Closed,2015,84.1,68.8
400015,ASPIRA CHTR - RAMIREZ HS,,Closed,2016,,62.9
400018,AUSTIN BUS & ENTRP HS,,Closed,2012,73.0,53.8
400018,AUSTIN BUS & ENTRP HS,,Closed,2013,78.4,60.9
400018,AUSTIN BUS & ENTRP HS,,Closed,2014,85.1,50.0
400018,AUSTIN BUS & ENTRP HS,,Closed,2015,87.5,63.5
400018,AUSTIN BUS & ENTRP HS,,Closed,2016,82.9,76.5
400022,CHIARTS HS,,,2012,96.1, 
400022,CHIARTS HS,,,2013,94.5, 
400022,CHIARTS HS,,,2014,94.8,88.8
400022,CHIARTS HS,,,2015,97.2,80.4
400022,CHIARTS HS,,,2016,97.0,81.1
400025,CICS - BUCKTOWN,,,2012,95.5,
400025,CICS - BUCKTOWN,,,2013,94.9,
400025,CICS - BUCKTOWN,,,2014,94.3,
400025,CICS - BUCKTOWN,,,2015,93.8,
400025,CICS - BUCKTOWN,,,2016,95.1,
400032,CICS - ELLISON HS,,,2012,94.7,77.3
400032,CICS - ELLISON HS,,,2013,94.4,65.8
400032,CICS - ELLISON HS,,,2014,95.8,74.2
400032,CICS - ELLISON HS,,,2015,95.6,77.0
400032,CICS - ELLISON HS,,,2016,91.0,78.6
400033,CICS - LONGWOOD,,,2012,94.9,63.2
400033,CICS - LONGWOOD,,,2013,90.0,73.7
400033,CICS - LONGWOOD,,,2014,93.0,80.5
400033,CICS - LONGWOOD,,,2015,92.6,74.6
400033,CICS - LONGWOOD,,,2016,92.2,82.6
400034,CICS - NORTHTOWN HS,,,2012,96.3,82.6
400034,CICS - NORTHTOWN HS,,,2013,95.9,81.6
400034,CICS - NORTHTOWN HS,,,2014,95.7,87.7
400034,CICS - NORTHTOWN HS,,,2015,95.4,84.4
400034,CICS - NORTHTOWN HS,,,2016,94.3,83.3
400035,CHICAGO MATH & SCIENCE HS,,,2012,95.9,78.1
400035,CHICAGO MATH & SCIENCE HS,,,2013,96.0,69.8
400035,CHICAGO MATH & SCIENCE HS,,,2014,96.7,68.8
400035,CHICAGO MATH & SCIENCE HS,,,2015,96.8,86.4
400035,CHICAGO MATH & SCIENCE HS,,,2016,96.3,85.2
400036,CHICAGO VIRTUAL,,,2012,95.3,41.7
400036,CHICAGO VIRTUAL,,,2013,95.3,20.0
400036,CHICAGO VIRTUAL,,,2014,95.1,38.7
400036,CHICAGO VIRTUAL,,,2015,94.0,38.7
