,Unnamed: 0_x,Unnamed: 0.1,Year,Dept/Unit Number,Job Title_Chief Safety & Security OFF,Job Title_Flex Team Security Officer,Job Title_Safety And Security Off,Job Title_School Security Officer,Job Title_Senior School Security Officer,Job Title_Senior Security Officer,Total Security,Total Security_Filled,Job Title_Career Counseling Manager,Job Title_Director of Counseling,"Job Title_Director, School Counseling & Post Secondary Advising",Job Title_Guidance Counselor Assistant,Job Title_HS Counseling Specialist,Job Title_K‐8 Counseling Specialist,Job Title_Manager-Secdry Schl Counselng,Job Title_School Counselor,Total Counseling,Total Counseling_Filled,School ID,pos_name_0,Unit_Number,Notes,Unnamed: 26,Unit Number,Unnamed: 0_y,Unit,School,Total,Bilingual_N,Bilingual_P,IEP_N,IEP_P,Free_Lunch_N,Free_Lunch_P
0,1,384,2010,24101,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,610029,LOZANO,24101,,4380.0,4380,327,4380,Lozano Bilingual,335.0,173.0,0.5164179104477612,55.0,0.16417910447761194,296.0,0.8835820895522388
1,2,898,2011,24101,0,0,0,2,0,0,2,2,0,0,0,1,0,0,0,1,2,1,610029,LOZANO,24101,,4380.0,610029,552,610029,Rodolfo Lozano Bilingual & International Ctr ES,316.0,145.0,0.4589,51.0,0.1614,298.0,0.943
2,3,1417,2012,24101,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,1,1,1,610029,LOZANO,24101,,4380.0,610029,550,610029,Rodolfo Lozano Bilingual & International Ctr ES,311.0,136.0,0.4373,46.0,0.1479,295.0,0.9486
3,4,1969,2013,24101,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,1,1,1,610029,LOZANO,24101,,4380.0,610029,524,610029,Rodolfo Lozano Bilingual & International Ctr ES,290.0,130.0,0.4482758620689655,64.0,0.2206896551724138,158.0,0.5448275862068965
4,5,2489,2014,24101,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,1,1,1,610029,LOZANO,24101,,4380.0,610029,535,610029,Rodolfo Lozano Bilingual & International Ctr ES,262.0,131.0,0.5,67.0,0.2557,246.0,0.9389
5,10,450,2010,25151,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,610148,CHAVEZ,25151,,5640.0,5640,442,5640,Chavez,877.0,409.0,0.4663625997719498,90.0,0.10262257696693272,867.0,0.9885974914481186
6,11,965,2011,25151,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,1,1,1,610148,CHAVEZ,25151,,5640.0,610148,82,610148,Cesar E Chavez Multicultural Academic Center ES,913.0,487.0,0.5334,87.0,0.0953,913.0,1.0
7,12,1489,2012,25151,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,1,1,1,610148,CHAVEZ,25151,,5640.0,610148,86,610148,Cesar E Chavez Multicultural Academic Center ES,937.0,481.0,0.5133,97.0,0.1035,927.0,0.9893
8,13,2041,2013,25151,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,1,1,1,610148,CHAVEZ,25151,,5640.0,610148,77,610148,Cesar E Chavez Multicultural Academic Center ES,947.0,477.0,0.5036958817317846,96.0,0.10137275607180572,930.0,0.9820485744456178
9,14,2559,2014,25151,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,1,1,1,610148,CHAVEZ,25151,,5640.0,610148,76,610148,Cesar E Chavez Multicultural Academic Center ES,959.0,476.0,0.4964,103.0,0.1074,949.0,0.9896
10,16,460,2010,25301,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,610167,SEWARD,25301,,5820.0,5820,459,5820,Seward,872.0,262.0,0.30045871559633025,76.0,0.0871559633027523,839.0,0.9621559633027524
11,17,975,2011,25301,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,610167,SEWARD,25301,,5820.0,610167,662,610167,William H Seward Communication Arts Academy ES,893.0,389.0,0.4356,80.0,0.0896,827.0,0.9261
12,18,1501,2012,25301,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,610167,SEWARD,25301,,5820.0,610167,660,610167,William H Seward Communication Arts Academy ES,854.0,370.0,0.4333,74.0,0.0867,783.0,0.9169
13,19,2048,2013,25301,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,610167,SEWARD,25301,,5820.0,610167,631,610167,William H Seward Communication Arts Academy ES,849.0,384.0,0.4522968197879858,74.0,0.08716136631330977,843.0,0.9929328621908128
14,20,2566,2014,25301,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,610167,SEWARD,25301,,5820.0,610167,640,610167,William H Seward Communication Arts Academy ES,817.0,342.0,0.4186,79.0,0.0967,816.0,0.9988
