,Year,Dept/Unit Number,Job Title_Chief Safety & Security OFF,Job Title_Flex Team Security Officer,Job Title_Safety And Security Off,Job Title_School Security Officer,Job Title_Senior School Security Officer,Job Title_Senior Security Officer,Total Security,Total Security_Filled,Job Title_Career Counseling Manager,Job Title_Director of Counseling,"Job Title_Director, School Counseling & Post Secondary Advising",Job Title_Guidance Counselor Assistant,Job Title_HS Counseling Specialist,Job Title_K‐8 Counseling Specialist,Job Title_Manager-Secdry Schl Counselng,Job Title_School Counselor,Total Counseling,Total Counseling_Filled,School ID,pos_name_0,School,Total,Bilingual_N,Bilingual_P,IEP_N,IEP_P,Free_Lunch_N,Free_Lunch_P,Job Title_Cntrl Office Security Officer,Job Title_K-8 Counseling Specialist
0,2010,24101,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,610029,LOZANO,Lozano Bilingual,335,173,0.516417910447761,55,0.164179104477612,296,0.883582089552239,0,0
1,2011,24101,0,0,0,2,0,0,2,2,0,0,0,1,0,0,0,1,2,1,610029,LOZANO,Rodolfo Lozano Bilingual & International Ctr ES,316,145,0.4589,51,0.1614,298,0.943,0,0
2,2012,24101,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,1,1,1,610029,LOZANO,Rodolfo Lozano Bilingual & International Ctr ES,311,136,0.4373,46,0.1479,295,0.9486,0,0
3,2013,24101,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,1,1,1,610029,LOZANO,Rodolfo Lozano Bilingual & International Ctr ES,290,130,0.448275862068966,64,0.220689655172414,158,0.544827586206897,0,0
4,2014,24101,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,1,1,1,610029,LOZANO,Rodolfo Lozano Bilingual & International Ctr ES,262,131,0.5,67,0.2557,246,0.9389,0,0
5,2010,25151,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,610148,CHAVEZ,Chavez,877,409,0.46636259977195,90,0.102622576966933,867,0.988597491448119,0,0
6,2011,25151,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,1,1,1,610148,CHAVEZ,Cesar E Chavez Multicultural Academic Center ES,913,487,0.5334,87,0.0953,913,1,0,0
7,2012,25151,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,1,1,1,610148,CHAVEZ,Cesar E Chavez Multicultural Academic Center ES,937,481,0.5133,97,0.1035,927,0.9893,0,0
8,2013,25151,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,1,1,1,610148,CHAVEZ,Cesar E Chavez Multicultural Academic Center ES,947,477,0.503695881731785,96,0.101372756071806,930,0.982048574445618,0,0
9,2014,25151,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,1,1,1,610148,CHAVEZ,Cesar E Chavez Multicultural Academic Center ES,959,476,0.4964,103,0.1074,949,0.9896,0,0
10,2010,25301,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,610167,SEWARD,Seward,872,262,0.30045871559633,76,0.087155963302752,839,0.962155963302752,0,0
11,2011,25301,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,610167,SEWARD,William H Seward Communication Arts Academy ES,893,389,0.4356,80,0.0896,827,0.9261,0,0
12,2012,25301,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,610167,SEWARD,William H Seward Communication Arts Academy ES,854,370,0.4333,74,0.0867,783,0.9169,0,0
13,2013,25301,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,610167,SEWARD,William H Seward Communication Arts Academy ES,849,384,0.452296819787986,74,0.08716136631331,843,0.992932862190813,0,0
14,2014,25301,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,610167,SEWARD,William H Seward Communication Arts Academy ES,817,342,0.4186,79,0.0967,816,0.9988,0,0
15,2010,26861,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,610394,UPLIFT HS,Uplift Community HS,520,17,0.032692307692308,66,0.126923076923077,476,0.915384615384615,0,0
16,2011,26861,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,2,3,2,610394,UPLIFT HS,Uplift Community High School,471,21,0.0446,54,0.1146,450,0.9554,0,0
17,2012,26861,0,0,0,1,3,0,4,4,0,0,0,1,0,0,0,1,2,1,610394,UPLIFT HS,Uplift Community High School,411,25,0.0608,67,0.163,378,0.9197,0,0
18,2013,26861,0,0,0,1,3,0,4,4,0,0,0,0,0,0,0,1,1,1,610394,UPLIFT HS,Uplift Community High School,354,19,0.053672316384181,79,0.22316384180791,336,0.949152542372881,0,0
19,2014,26861,0,0,0,1,2,0,3,3,0,0,0,0,0,0,0,1,1,1,610394,UPLIFT HS,Uplift Community High School,326,18,0.0552,85,0.2607,313,0.9601,0,0
20,2010,31121,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,609987,HENDRICKS,Hendricks,340,1,0.002941176470588,27,0.079411764705882,332,0.976470588235294,0,0
21,2011,31121,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,609987,HENDRICKS,Thomas A Hendricks Elementary Community Academy,305,1,0.0033,24,0.0787,270,0.8852,0,0
