,Unnamed: 0,Unnamed: 0_x,Unnamed: 0.1,Year,Dept/Unit Number,Job Title_Chief Safety & Security OFF,Job Title_Flex Team Security Officer,Job Title_Safety And Security Off,Job Title_School Security Officer,Job Title_Senior School Security Officer,Job Title_Senior Security Officer,Total Security,Total Security_Filled,Job Title_Career Counseling Manager,Job Title_Director of Counseling,"Job Title_Director, School Counseling & Post Secondary Advising",Job Title_Guidance Counselor Assistant,Job Title_HS Counseling Specialist,Job Title_K‐8 Counseling Specialist,Job Title_Manager-Secdry Schl Counselng,Job Title_School Counselor,Total Counseling,Total Counseling_Filled,School ID,pos_name_0,Unit_Number,Notes,Unnamed: 26,Unit Number,Unnamed: 0_y,Unit,School_x,Total_x,Bilingual_N,Bilingual_P,IEP_N,IEP_P,Free_Lunch_N,Free_Lunch_P,School Name_x,Status as of 2014,Status as of 2019,Attendance,5YR Grad Rate,School_y,Total_y,White No,White Pct,African American No,African American Pct,Native American/Alaskan No,Native American/Alaskan Pct,Asian/Pacific Islander No,Asian/Pacific Islander Pct,Hispanic No,Hispanic Pct,Multi-Racial No,Multi-Racial Pct,Asian No,Asian Pct,Hawaiian/Pacific Islander No,Hawaiian/Pacific Islander Pct,Not Available No,Not Available Pct,School Name_y,School Year,# of Misconducts,# of Group 1-2 Misconducts,# of Group 3-4 Misconducts,# of Group 5-6 Misconducts,# of Suspensions (includes ISS and OSS),"% of Misconducts Resulting in a Suspension
(includes ISS and OSS)",# of ISS,% of Misconducts Resulting in an ISS,ISS per 100 Students,# of Unique Students Receiving ISS,% of Unique Students Receiving ISS,Average Length of ISS,# of OSS,% of Misconducts Resulting in an OSS,OSS per 100 Students,# of Unique Students Receiving OSS,% of Unique Students Receiving OSS,Average Length of OSS,# of Police Notifications,% of Misconducts Resulting in a Police Notification,Police Notifications per 100 Students,# of Unique Students Receiving Police Notification,% of Unique Students Receiving Police Notification,# of Students Expelled,Expulsions per 100 Students
0,0,1,384,2011,24101,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,610029,LOZANO,24101,,4380.0,4380,327,4380,Lozano Bilingual,335.0,173.0,0.5164179104477612,55.0,0.16417910447761194,296.0,0.8835820895522388,LOZANO,,,94.8,,Lozano Bilingual,335.0,8.0,2.4,13.0,3.9,1.0,0.3,0.0,0.0,298.0,89.0,0.0,0.0,2.0,0.6,0.0,0.0,13.0,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,898,2012,24101,0,0,0,2,0,0,2,2,0,0,0,1,0,0,0,1,2,1,610029,LOZANO,24101,,4380.0,610029,552,610029,Rodolfo Lozano Bilingual & International Ctr ES,316.0,145.0,0.4589,51.0,0.1614,298.0,0.943,LOZANO,,,94.9,,Lozano Bilingual,316.0,11.0,3.5,16.0,5.1,1.0,0.3,0.0,0.0,274.0,86.7,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.4,LOZANO ES,2012.0,11.0,0.0,10.0,1.0,11.0,100.0,6.0,54.5,1.93,6.0,1.9,1.0,5.0,45.5,1.61,5.0,1.6,3.4,1.0,9.1,0.32,1.0,0.3,0.0,0.0
2,2,3,1417,2013,24101,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,1,1,1,610029,LOZANO,24101,,4380.0,610029,550,610029,Rodolfo Lozano Bilingual & International Ctr ES,311.0,136.0,0.4373,46.0,0.1479,295.0,0.9486,LOZANO,,,94.0,,Lozano Bilingual,311.0,12.0,3.9,17.0,5.5,1.0,0.3,0.0,0.0,281.0,90.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOZANO ES,2013.0,29.0,12.0,16.0,1.0,18.0,62.1,4.0,13.8,1.33,4.0,1.3,1.0,14.0,48.3,4.66,12.0,4.0,1.43,2.0,6.9,0.67,2.0,0.7,0.0,0.0
3,3,4,1969,2014,24101,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,1,1,1,610029,LOZANO,24101,,4380.0,610029,524,610029,Rodolfo Lozano Bilingual & International Ctr ES,290.0,130.0,0.4482758620689655,64.0,0.2206896551724138,158.0,0.5448275862068965,LOZANO,,,94.0,,,290.0,8.0,2.8,32.0,11.0,1.0,0.3,0.0,0.0,247.0,85.2,1.0,0.3,0.0,0.0,1.0,0.3,0.0,0.0,LOZANO ES,2014.0,13.0,2.0,10.0,1.0,9.0,69.2,4.0,30.8,1.43,4.0,1.4,3.0,5.0,38.5,1.78,5.0,1.8,1.8,5.0,38.5,1.78,5.0,1.8,0.0,0.0
4,4,5,2489,2015,24101,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,1,1,1,610029,LOZANO,24101,,4380.0,610029,535,610029,Rodolfo Lozano Bilingual & International Ctr ES,262.0,131.0,0.5,67.0,0.2557,246.0,0.9389,LOZANO,,,95.3,,LOZANO,262.0,5.0,1.9,38.0,14.5,1.0,0.4,0.0,0.0,214.0,81.7,2.0,0.8,1.0,0.4,1.0,0.4,0.0,0.0,LOZANO ES,2015.0,4.0,2.0,2.0,0.0,1.0,25.0,1.0,25.0,0.38,1.0,0.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,10,450,2011,25151,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,610148,CHAVEZ,25151,,5640.0,5640,442,5640,Chavez,877.0,409.0,0.4663625997719498,90.0,0.10262257696693272,867.0,0.9885974914481186,CHAVEZ,,,95.1,,Chavez,877.0,10.0,1.1,44.0,5.0,0.0,0.0,0.0,0.0,819.0,93.4,3.0,0.3,1.0,0.1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,11,965,2012,25151,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,1,1,1,610148,CHAVEZ,25151,,5640.0,610148,82,610148,Cesar E Chavez Multicultural Academic Center ES,913.0,487.0,0.5334,87.0,0.0953,913.0,1.0,CHAVEZ,,,95.6,,Chavez,913.0,7.0,0.8,51.0,5.6,2.0,0.2,0.0,0.0,852.0,93.3,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,CHAVEZ,2012.0,101.0,5.0,87.0,9.0,99.0,98.0,43.0,42.6,4.76,25.0,2.8,1.16,56.0,55.4,6.2,31.0,3.4,2.0,1.0,1.0,0.11,1.0,0.1,0.0,0.0
7,7,12,1489,2013,25151,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,1,1,1,610148,CHAVEZ,25151,,5640.0,610148,86,610148,Cesar E Chavez Multicultural Academic Center ES,937.0,481.0,0.5133,97.0,0.1035,927.0,0.9893,CHAVEZ,,,95.4,,Chavez,937.0,9.0,1.0,37.0,3.9,5.0,0.5,0.0,0.0,885.0,94.5,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,CHAVEZ,2013.0,135.0,10.0,117.0,8.0,142.0,105.2,70.0,51.9,7.56,41.0,4.4,1.2,72.0,53.3,7.77,41.0,4.4,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,13,2041,2014,25151,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,1,1,1,610148,CHAVEZ,25151,,5640.0,610148,77,610148,Cesar E Chavez Multicultural Academic Center ES,947.0,477.0,0.5036958817317846,96.0,0.10137275607180572,930.0,0.9820485744456178,CHAVEZ,,,96.2,,,947.0,9.0,1.0,34.0,3.6,4.0,0.4,0.0,0.0,899.0,94.9,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,CHAVEZ,2014.0,63.0,3.0,49.0,11.0,63.0,100.0,37.0,58.7,3.93,22.0,2.3,2.11,26.0,41.3,2.76,18.0,1.9,2.42,1.0,1.6,0.11,1.0,0.1,0.0,0.0
9,9,14,2559,2015,25151,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,1,1,1,610148,CHAVEZ,25151,,5640.0,610148,76,610148,Cesar E Chavez Multicultural Academic Center ES,959.0,476.0,0.4964,103.0,0.1074,949.0,0.9896,CHAVEZ,,,96.5,,CHAVEZ,959.0,11.0,1.1,35.0,3.6,4.0,0.4,0.0,0.0,907.0,94.6,1.0,0.1,0.0,0.0,0.0,0.0,1.0,0.1,CHAVEZ,2015.0,41.0,3.0,32.0,6.0,40.0,97.6,29.0,70.7,3.01,21.0,2.2,1.41,11.0,26.8,1.14,10.0,1.0,2.91,1.0,2.4,0.1,1.0,0.1,0.0,0.0
